,category,sub_category,crimeaditionalinfo
96,Report Unlawful Content,Against Interest of sovereignty or integrity of India,Maine WhatsApp par ek post dekha jisme koi hamare sena ke operations ke baare mein jhooti khabrein phela raha hai. Yeh desh ki suraksha ke liye khatarnaak hai. Kripya action lein.
615,Hacking  Damage to computercomputer system etc,Website DefacementHacking,"Mera YouTube account hack ho gaya hai. Kisi ne mere videos ko delete kar diya hai. Main bahut pareshan hoon, please help."
977,Cyber Terrorism,Cyber Terrorism,"Mujhe ek travel agency se call aaya tha, unhone mujhe tour book karne ke liye bola. Ab wo log mujhe aur paise dene ke liye keh rahe hain aur dhamki de rahe hain. Main bahut pareshan hoon."
863,Online Cyber Trafficking,Online Trafficking,"Ek aadmi Instagram par mujhe paise bhejne ke liye keh raha hai, warna wo meri photos leak karne ki dhamki de raha hai. Main kya karun?"
249,Online and Social Media Related Crime,Intimidating Email,I received a threatening email from someone claiming to be a lawyer. They are accusing me of something I didn't do and demanding money to drop the case. The email ID is fake.lawyer999@gmail.com. Please help!
1050,Online and Social Media Related Crime,Provocative Speech for unlawful acts,"I received a message on WhatsApp from an unknown number, threatening to share my personal photos if I don't pay them money. Please help me with this issue."
280,Online and Social Media Related Crime,Intimidating Email,I have been receiving emails from someone who is threatening to expose my private life unless I pay them money. I am really scared and need help to stop this.
74,Report Unlawful Content,Against Interest of sovereignty or integrity of India,Ek TikTok account hai jo baar baar desh ke khilaf content post kar raha hai. Yeh alagavadi soch ko badhava de raha hai. Kripya is par action lein.
1314,Online Gambling  Betting,Online Gambling  Betting,"Kuch log mujhe call karke keh rahe hain ki main agar unhe paise doon toh mujhe lottery jeetne ka chance milega. Maine unhe apni details di thi, ab mujhe dar lag raha hai."
1277,Online Financial Fraud,Business Email CompromiseEmail Takeover,"Mujhe WhatsApp par ek banda mila jo keh raha tha ki wo mujhe ek acchi job dilwa sakta hai. Usne mere bank details maange, lekin maine nahi diye. Mujhe lagta hai wo fraud hai."
101,Ransomware,Ransomware,"Maine ek software download kiya tha aur uske baad mere saare data encrypt ho gaye. Ransomware ne mujhe bitcoin mein payment karne ke liye bola hai. Main bahut pareshan hoon, please help!"
814,Online Cyber Trafficking,Online Trafficking,Mujhe ek video call aayi thi jisme kisi ne meri video record ki aur ab mujhe paise ke liye blackmail kar raha hai. Main kya karun?
862,Online Cyber Trafficking,Online Trafficking,"Mujhe ek email aaya tha jisme bola gaya ki mujhe job offer hua hai, par unhone mere bank details maange. Mujhe lagta hai ye fraud hai. Kya mujhe report karna chahiye?"
85,Report Unlawful Content,Against Interest of sovereignty or integrity of India,I came across a Facebook group that is discussing how to undermine the Indian government. They are sharing harmful content that can disturb the peace in our country. Please take action.
36,Report Unlawful Content,Against Interest of sovereignty or integrity of India,"There is a YouTube channel called ""India Unplugged"" that is promoting anti-national content and spreading lies about our country. This is dangerous for our sovereignty. Please look into this channel."
972,Cyber Terrorism,Cyber Terrorism,"I downloaded a finance app, and now they are sending me abusive messages. They have threatened to share my personal information with my contacts if I don't pay them. I am very stressed."
173,Ransomware,Ransomware,"Mera computer kal raat ransomware se attack hua. Ab sab important documents encrypt ho gaye hain aur hackers ne payment ka demand kiya hai. Main bahut pareshan hoon, please meri madad karein."
657,Hacking  Damage to computercomputer system etc,Website DefacementHacking,"Mere dost ne mujhe ek link bheja tha Facebook pe, bola ki mujhe kuch verify karna hai. Maine link pe click kiya aur ab mera account hack ho gaya hai. Kripya meri madad karein."
581,Hacking  Damage to computercomputer system etc,Damage to computer computer systems etc,"Mujhe ek app se call aaya, unhone bola ki unhone mera data hack kar liya hai. Main bahut pareshan hoon, please help."
578,Hacking  Damage to computercomputer system etc,Damage to computer computer systems etc,"Maine ek suspicious link par click kiya, aur ab mera computer bahut slow ho gaya hai. Mujhe lagta hai ki mujhe virus ho gaya hai. Kya aap madad kar sakte hain?"
1470,Child Pornography CPChild Sexual Abuse Material CSAM,,I received a message from an unknown person who is threatening to share my private photos if I don't send him more. I need help to stop this harassment.
450,Online and Social Media Related Crime,Impersonating Email,"I received an email from someone pretending to be my manager, asking me to transfer money for a project. I didn't realize it was a scam until I spoke to my actual manager. Please help me recover my money."
1002,Online and Social Media Related Crime,Provocative Speech for unlawful acts,Mujhe ek app se loan liya tha aur ab voh log mujhe dhamki de rahe hain. Unhone mere personal details social media par share kar diye hain. Kripya kuch karein.
167,Ransomware,Ransomware,"I was browsing the internet when suddenly a ransomware attack occurred. All my files are now encrypted, and I received a ransom note asking for payment. I need urgent help to recover my data."
1294,Online Financial Fraud,Business Email CompromiseEmail Takeover,"Mujhe ek message aaya tha jismein bola gaya tha ki mujhe loan milne wala hai. Unhone processing fee maangi aur jab maine pay kiya, tab wo gayab ho gaye. Kripya meri madad karein."
958,Cyber Terrorism,Cyber Terrorism,"I took a loan from an app, and now they are threatening to call my contacts if I don't pay. They have access to my phone book and are causing me a lot of stress. Please help me."
718,Online and Social Media Related Crime,Online Matrimonial Fraud,"Hello, I was chatting with a girl on a matrimonial site who said she was in trouble and needed money for her brother's treatment. I transferred Rs 25,000 to her account, but now she has blocked me. Please investigate this fraud."
72,Report Unlawful Content,Against Interest of sovereignty or integrity of India,Ek Instagram video mein Deepak Kumar anti-India slogans phela raha hai. Woh samudayon ke beech nafrat bhadka raha hai. Kripya is par turant action lein.
1311,Online Gambling  Betting,Online Gambling  Betting,"Sir, mujhe ek app ke through gambling ka shauk laga tha, lekin ab mujhe samajh aaya ki yeh sab fraud hai. Maine bahut paise kho diye hain. Kya aap meri madad kar sakte hain?"
382,Online and Social Media Related Crime,EMail Phishing,Mujhe ek phishing email mili jo kisi job recruiter se aayi thi. Unhone mere personal information aur processing fee maangi. Yeh scam lag raha tha.
449,Online and Social Media Related Crime,Impersonating Email,Mujhe ek email aayi thi jismein kisi ne mere naam se paise maange the. Maine jab apne boss se baat ki to unhone mujhe bataya ki unhone mujhe koi email nahi bheji. Kripya meri madad karein.
1365,Online Gambling  Betting,Online Gambling  Betting,Mujhe ek link mila online betting site ka aur maine ₹1500 kho diye. Unhone easy money ka vaada kiya par ye scam nikla. Kripya jaanch karein!
438,Online and Social Media Related Crime,Impersonating Email,Mujhe ek email aayi thi jismein kisi ne mere naam se paise maange the. Maine jab apne boss se baat ki to unhone mujhe bataya ki unhone mujhe koi email nahi bheji. Kripya meri madad karein.
523,Hacking  Damage to computercomputer system etc,Damage to computer computer systems etc,"Mera computer ek virus se affect ho gaya hai. Ab main apne files aur photos access nahi kar pa raha hoon. Mujhe help chahiye, please meri madad karein."
400,Online and Social Media Related Crime,Impersonating Email,Mujhe ek email aayi thi jismein mere boss ka naam use kiya gaya tha. Unhone mujhe kaha ki mujhe kuch paise transfer karne hain ek vendor ko. Maine baad mein apne boss se confirm kiya aur unhone mujhe bataya ki unhone mujhe koi email nahi bheji. Kripya meri madad karein.
967,Cyber Terrorism,Cyber Terrorism,"Mujhe ek aadmi ne social media par contact kiya aur bola ki wo mujhe job dilayega. Jab maine apne details diye, toh ab wo mujhe blackmail kar raha hai. Main bahut dar rahi hoon."
414,Online and Social Media Related Crime,Impersonating Email,Mujhe ek email aayi thi jismein kisi ne mere naam se paise maange the. Maine jab apne boss se baat ki to unhone mujhe bataya ki unhone mujhe koi email nahi bheji. Kripya meri madad karein.
571,Hacking  Damage to computercomputer system etc,Damage to computer computer systems etc,I think someone is trying to hack my social media accounts. I keep getting notifications about login attempts from unknown devices. Please assist me.
1429,Child Pornography CPChild Sexual Abuse Material CSAM,,Mujhe ek unknown ID se kuch vulgar messages mil rahe hain jo mere friends ko bhi tag kar rahe hain. Wo mujhe bad pictures bhejne ke liye keh rahe hain. Please iski jaanch karein.
145,Ransomware,Ransomware,"Mere laptop par ransomware ne attack kiya hai aur sabhi files encrypt ho gaye hain. Mujhe bahut zaroori data chahiye, lekin main unhe recover nahi kar pa raha hoon. Kya aap meri madad kar sakte hain?"
295,Online and Social Media Related Crime,Intimidating Email,Koi mujhe emails bhej raha hai jisme woh mujhe dhamki de raha hai ki uske paas meri personal photos hain. Woh paisa maang raha hai. Main bahut pareshan hoon aur madad chahiye.
689,Hacking  Damage to computercomputer system etc,Website DefacementHacking,My Facebook account was hacked after I clicked on a link in a message. Now I can't access it. Please help me recover my account.
1211,Online Financial Fraud,Business Email CompromiseEmail Takeover,"Mujhe ek WhatsApp message aaya tha jismein bola gaya tha ki mujhe ek online business mein invest karna hai. Maine paise bheje, par ab unka koi response nahi aa raha. Yeh log bahut dhokebaaz hain."
283,Online and Social Media Related Crime,Intimidating Email,I am getting repeated emails from a person who is harassing me with false accusations. They are using different email IDs and I feel very intimidated. Please help me take action against this.
565,Hacking  Damage to computercomputer system etc,Damage to computer computer systems etc,"Mere computer mein ransomware aa gaya hai, aur ab main apne files nahi dekh sakta. Unhone mujhe paise dene ke liye bola hai. Kya aap meri madad kar sakte hain?"
369,Online and Social Media Related Crime,EMail Phishing,"Mujhe ek call aayi thi jisme unhone bola ki wo meri bank se hain. Unhone mere personal details maange, mujhe laga yeh fraud hai."
1475,Child Pornography CPChild Sexual Abuse Material CSAM,,"Koi mujhe WhatsApp par harass kar raha hai, keh raha hai ki uske paas meri private pictures hain. Woh paisa maang raha hai mujhe blackmail karne ke liye. Help chahiye."
679,Hacking  Damage to computercomputer system etc,Website DefacementHacking,My YouTube account was hacked and someone is posting inappropriate content. I need urgent help to recover it.
732,Online and Social Media Related Crime,Online Matrimonial Fraud,"I found a profile on Bharat Matrimony and started chatting with a girl named Priya. She asked for money to help her with a family issue. I sent her Rs 15,000, but now I think it was all a lie. Please help me."
60,Report Unlawful Content,Against Interest of sovereignty or integrity of India,I came across a Facebook group that is discussing how to undermine the Indian government. They are sharing harmful content that can disturb the peace in our country. Please take action.
172,Ransomware,Ransomware,"Maine ek suspicious link par click kiya aur ab mera computer ransomware se infect ho gaya hai. Sab files encrypt ho gayi hain aur hackers ransom maang rahe hain. Main bahut worried hoon, please help."
1156,Hacking  Damage to computercomputer system etc,Email Hacking,Someone has accessed my email without my permission. I am unable to reset my password as the recovery options have been changed. Please help me get back into my account.
1215,Online Financial Fraud,Business Email CompromiseEmail Takeover,"Mujhe ek WhatsApp message aaya tha jismein bola gaya tha ki mujhe ek online business mein invest karna hai. Maine paise bheje, par ab unka koi response nahi aa raha. Yeh log bahut dhokebaaz hain."
1427,Child Pornography CPChild Sexual Abuse Material CSAM,,Mujhe ek link mila jisme inappropriate content hai jo bachon se related hai. Yeh bahut disturbing hai aur main chahti hoon ki aap is par action lein.
672,Hacking  Damage to computercomputer system etc,Website DefacementHacking,Someone created a fake website using my business name. They are scamming people. I need help to take it down.
54,Report Unlawful Content,Against Interest of sovereignty or integrity of India,I saw a TikTok video where a person is mocking our national flag and making fun of our soldiers. This is highly disrespectful and goes against the integrity of India. Please take action against this.
0,Report Unlawful Content,Against Interest of sovereignty or integrity of India,I found a video on Facebook where a person named Ramesh Sharma is promoting anti-India sentiments. He is seen discussing how to create unrest in our country. This is very concerning. Please take action against such content.
1456,Child Pornography CPChild Sexual Abuse Material CSAM,,I received a call from someone who is threatening to leak my private videos online. I am feeling very anxious and need assistance to resolve this.
1345,Online Gambling  Betting,Online Gambling  Betting,"Mujhe ek message aaya tha ki maine lottery jeeti hai, aur agar main paise deposit karun toh mujhe zyada paise milenge. Unhone meri bank details maangi thi. Please help!"
1474,Child Pornography CPChild Sexual Abuse Material CSAM,,"I stumbled upon a link in a Telegram group that led to explicit content involving children. This is unacceptable, and I want to report it immediately."
1235,Online Financial Fraud,Business Email CompromiseEmail Takeover,"Mujhe ek WhatsApp message aaya tha jismein bola gaya tha ki mujhe ek online business mein invest karna hai. Maine paise bheje, par ab unka koi response nahi aa raha. Yeh log bahut dhokebaaz hain."
1200,Online Financial Fraud,Business Email CompromiseEmail Takeover,"Sir, mujhe ek email aayi thi jismein bola gaya tha ki mujhe investment karna hai. Maine unhe paise bheje, lekin ab unka contact band ho gaya hai. Yeh log bahut logon ko dhoka de rahe hain. Please madad karein."
1177,Hacking  Damage to computercomputer system etc,Email Hacking,"Mera Gmail account hack ho gaya hai, aur mujhe login karne ka option nahi mil raha. Hacker ne sab kuch badal diya hai. Kripya meri madad karein."
754,Online and Social Media Related Crime,Online Matrimonial Fraud,"I met a girl named Aditi on a matrimony app. After a few days, she asked for money to pay her rent. I transferred Rs. 10,000, but now she has blocked me. I feel cheated. Please help me recover my money."
633,Hacking  Damage to computercomputer system etc,Website DefacementHacking,Mujhe ek message aaya tha jisme bola gaya tha ki mujhe apna password reset karna hai. Maine kiya aur ab mera account hack ho gaya hai.
361,Online and Social Media Related Crime,EMail Phishing,"Ek fraud call aayi thi, unhone bola ki main lottery jeeta hoon. Unhone mere bank details maange, par maine nahi diye. Kya aap iski jaanch kar sakte hain?"
859,Online Cyber Trafficking,Online Trafficking,Someone is pretending to be my friend on social media and is asking for money for an emergency. I suspect it’s a scam. Please help me report this!
1141,Hacking  Damage to computercomputer system etc,Email Hacking,Mera email id kisi ne hack kar liya hai aur ab mujhe apne bank details tak nahi mil rahe. Koi unknown person mere email se paise transfer kar raha hai. Kripya meri madad karein.
1409,Child Pornography CPChild Sexual Abuse Material CSAM,,Mujhe ek unknown number se calls aa rahe hain jo mujhe harass kar rahe hain aur meri private photos maang rahe hain. Please iski jaanch karein.
1473,Child Pornography CPChild Sexual Abuse Material CSAM,,"An unknown person is harassing me on WhatsApp, asking for nude pictures and threatening to share my private information. I am scared and need help."
46,Report Unlawful Content,Against Interest of sovereignty or integrity of India,"A Facebook page named ""Desh Drohi"" is promoting separatist ideologies and spreading hatred against our country. The posts are very inflammatory and can lead to unrest. I request you to take action against this page."
691,Hacking  Damage to computercomputer system etc,Website DefacementHacking,I received a phishing email that looked like it was from PayPal. I clicked on the link and now my account is compromised. Please help me.
154,Ransomware,Ransomware,"I was using my computer when a ransomware virus attacked and encrypted all my files. The ransom note says I need to pay to get my data back. This is very important for my business, and I need assistance in recovering my files."
791,Online and Social Media Related Crime,Online Matrimonial Fraud,"Sir, main ek matrimony app par ladki se baat kar raha tha. Usne bola ki uska passport khatam ho gaya hai aur usse paise chahiye. Maine 30,000 bheje, ab mujhe lagta hai ki ye fraud hai. Kripya kuch karein."
418,Online and Social Media Related Crime,Impersonating Email,Mujhe ek email aayi thi jismein kisi ne mere naam se paise maange the. Maine jab apne boss se baat ki to unhone mujhe bataya ki unhone mujhe koi email nahi bheji. Kripya meri madad karein.
650,Hacking  Damage to computercomputer system etc,Website DefacementHacking,"My Instagram account got hacked last night. Someone sent me a link pretending to be from Instagram, and as soon as I clicked it, I lost access. Please help me recover my account."
719,Online and Social Media Related Crime,Online Matrimonial Fraud,"Sir, I was searching for a life partner on a matrimony website and got in touch with a girl named Neelam. She asked for money to help her with a loan. I sent her Rs 30,000, but now she is unreachable. Please help."
1352,Online Gambling  Betting,Online Gambling  Betting,Someone messaged me on WhatsApp saying I can earn money by betting on games. They asked for my bank details. I think it's a fraud. Need help!
1373,Online Gambling  Betting,Online Gambling  Betting,I got a call from a person saying I won a cash prize. They asked for my personal information to transfer the money. I think it's a fraud!
493,Online and Social Media Related Crime,Impersonating Email,"Mujhe ek email aayi thi jisme kisi ne mere manager ka naam use kiya. Usne mujhe bola ki mujhe paise transfer karne hain. Jab maine apne manager se baat ki, toh pata chala ki usne mujhe email nahi kiya tha."
970,Cyber Terrorism,Cyber Terrorism,I received a threatening email from someone claiming to have my personal information. They are demanding money or they will leak my data. I need help to report this.
1394,Online Gambling  Betting,Online Gambling  Betting,Main ek online gambling site mein invest kiya tha. Unhone high returns ka vaada kiya tha par ab withdrawal nahi karne de rahe. Kripya meri madad karein!
1001,Online and Social Media Related Crime,Provocative Speech for unlawful acts,Ek ladki ne mujhe video call kiya aur phir mujhe blackmail karne lagi. Maine uska number block kar diya lekin ab voh naye number se mujhe pareshan kar rahi hai. Mujhe help chahiye.
950,Cyber Terrorism,Cyber Terrorism,"I received a threatening message from someone claiming to be from a loan recovery agency. They have my personal details and are harassing me to pay a loan I never took. Please help me, as they are also contacting my friends and family."
1017,Online and Social Media Related Crime,Provocative Speech for unlawful acts,Mujhe ek video call aayi jisme ek ladki ne mujhe nude dikhaya aur ab voh mujhe blackmail kar rahi hai. Main bahut tension mein hoon. Kya karun?
992,Cyber Terrorism,Cyber Terrorism,"Mujhe ek travel agency se call aaya tha, unhone mujhe tour book karne ke liye bola. Ab wo log mujhe aur paise dene ke liye keh rahe hain aur dhamki de rahe hain. Main bahut pareshan hoon."
584,Hacking  Damage to computercomputer system etc,Damage to computer computer systems etc,"Mere dost ka computer hack ho gaya hai, aur unki personal details leak ho gayi hain. Humari madad karein."
850,Online Cyber Trafficking,Online Trafficking,"I received a call from a number asking for my bank details, claiming it was for a loan I never applied for. They are now threatening to share my personal information if I don’t comply. Please help me!"
1309,Online Gambling  Betting,Online Gambling  Betting,"Sir, mujhe ek gambling site par paise invest karne ke liye bola gaya tha. Maine kiya, lekin ab mujhe kuch nahi mil raha. Kya aap meri madad kar sakte hain?"
1209,Online Financial Fraud,Business Email CompromiseEmail Takeover,"Ek dost ne mujhe ek company ka link diya tha jahan mujhe investment karna tha. Maine paise bheje, lekin ab mujhe samajh aaya ki yeh sab dhoka hai. Please meri madad karein."
1058,Online and Social Media Related Crime,Provocative Speech for unlawful acts,I am being blackmailed by someone who has my personal information. They are threatening to share it online if I don't pay them. Please help!
685,Hacking  Damage to computercomputer system etc,Website DefacementHacking,"I clicked on a suspicious link sent by a friend on WhatsApp, and now my Facebook account is compromised. Please assist me in recovering it."
289,Online and Social Media Related Crime,Intimidating Email,"Koi mujhe threatening emails bhej raha hai aur keh raha hai ki agar maine unki baat nahi maani toh woh meri izzat kharab kar dega. Main bahut pareshan hoon, please meri madad karein."
943,Cyber Terrorism,Cyber Terrorism,"Ek aadmi mujhe WhatsApp par message karke keh raha hai ki uske paas meri personal information hai aur agar main paisa nahi doonga, toh wo sabko bata dega. Yeh bahut darawana hai!"
501,Hacking  Damage to computercomputer system etc,Damage to computer computer systems etc,Mera Gmail hack ho gaya hai. Koi mujhe baar baar call karke mera password badalne ki koshish kar raha hai. Uska naam hai Rahul aur wo Delhi se hai. Kripya meri madad karein.
1087,Online and Social Media Related Crime,Provocative Speech for unlawful acts,I got a call from a stranger who started using bad words and threatened me. I don't know how they got my number. Please take action against this.
1139,Hacking  Damage to computercomputer system etc,Email Hacking,Mera email account hack ho gaya hai aur mujhe apne saare important emails nahi mil rahe. Koi unknown person mere email se fraud kar raha hai. Kripya meri madad karein.
809,Online Cyber Trafficking,Online Trafficking,Kisi ne mujhe ek fake job offer diya aur bola ki mujhe unhe advance payment karna padega. Main samajh nahi paa raha ki ye sab kya hai.
1451,Child Pornography CPChild Sexual Abuse Material CSAM,,"Someone is sending me inappropriate messages on Instagram, claiming they have my private pictures. They are blackmailing me for money. I need urgent help to stop this."
727,Online and Social Media Related Crime,Online Matrimonial Fraud,"Sir, I was chatting with a girl on a matrimony app who claimed to be in financial trouble. She asked for money to pay her rent. I sent her Rs 15,000, but now I think it was a scam. Please take action."
947,Cyber Terrorism,Cyber Terrorism,"Ek aadmi mujhe WhatsApp par message karke keh raha hai ki uske paas meri personal photos hain aur agar main paisa nahi doonga, toh wo unhe sabko dikha dega. Yeh bahut serious hai!"
1113,Hacking  Damage to computercomputer system etc,Email Hacking,Mera email id hack ho gaya hai aur ab mujhe apne bank account ka access nahi mil raha. Koi unknown person mere email se paise transfer kar raha hai. Please help.
356,Online and Social Media Related Crime,EMail Phishing,I received a message on Facebook from a stranger claiming to be a model scout. They asked for my personal info and a fee for a photoshoot. I think it’s a scam.
106,Ransomware,Ransomware,"Maine ek suspicious link par click kiya aur ab mere saare data encrypt ho gaye hain. Ransomware ne mujhe bitcoin mein payment karne ko bola hai. Main bahut pareshan hoon, please help!"
989,Cyber Terrorism,Cyber Terrorism,"I received a call from someone claiming to be from a bank, asking for my account details. I suspect it's a scam, and I need help to report this incident."
1255,Online Financial Fraud,Business Email CompromiseEmail Takeover,"Sir, I was approached by a person claiming to be from a government agency. They asked for money to process my application. I paid, but now they are not responding. Please take action against them."
87,Report Unlawful Content,Against Interest of sovereignty or integrity of India,"On Twitter, a user named Aditi is spreading hate speech against our country and its leaders. This content is unlawful and should be investigated."
641,Hacking  Damage to computercomputer system etc,Website DefacementHacking,"Mera Twitter account kisi ne hack kar liya hai. Usne mere followers ko spam messages bheje hain. Main bahut pareshan hoon, please help."
1288,Online Financial Fraud,Business Email CompromiseEmail Takeover,"I received a message from a fake supplier asking for payment for goods that were never delivered. After I paid, they stopped communicating. I want to report this fraud."
606,Hacking  Damage to computercomputer system etc,Website DefacementHacking,Mujhe ek link mila tha jo mere dost ne bheja tha. Us par click karte hi mera Instagram account hack ho gaya. Ab main login nahi kar pa raha hoon.
1250,Online Financial Fraud,Business Email CompromiseEmail Takeover,"I received an email from a company claiming to offer a business partnership. They asked for an initial investment and promised high returns. After I sent the money, they stopped responding. I suspect it's a scam and want to report it."
1157,Hacking  Damage to computercomputer system etc,Email Hacking,"My email was hacked, and now the hacker is using it to send fake job offers to my contacts. I am really worried about the misuse of my information. Please help me."
338,Online and Social Media Related Crime,EMail Phishing,"I received a message on Instagram saying I won a gift card, but I need to provide my email and phone number to claim it. I think it’s a scam."
1481,Child Pornography CPChild Sexual Abuse Material CSAM,,"Maine ek Telegram group mein ek link dekha jo minors ke liye explicit content share kar raha hai. Yeh bahut disturbing hai, iski report karni hai."
1490,Child Pornography CPChild Sexual Abuse Material CSAM,,Someone is using my pictures on social media and blackmailing me for money. They say they will ruin my reputation if I don’t comply. Please take action against this.
1405,Child Pornography CPChild Sexual Abuse Material CSAM,,"Ek ladka mujhe Facebook par har waqt harass kar raha hai aur keh raha hai ki agar main usse nahi milti toh wo meri photos viral kar dega. Yeh bahut serious hai, please madad karein."
316,Online and Social Media Related Crime,EMail Phishing,"I got a message on LinkedIn from someone offering a job, but they asked for my bank details for verification. I feel it’s a scam. Please help!"
930,Cyber Terrorism,Cyber Terrorism,"Mujhe ek app se loan mila tha, ab wo log mujhe har din pareshan kar rahe hain. Unhone mere dost logon ko bhi call kiya hai aur unhe dhamki di hai. Kya aap meri madad kar sakte hain?"
752,Online and Social Media Related Crime,Online Matrimonial Fraud,"I received a message from a girl on a matrimony site who claimed to be in love with me. She asked for money for her brother's medical emergency. I sent her Rs. 15,000, but now I think it was a scam. Please help me."
29,Report Unlawful Content,Against Interest of sovereignty or integrity of India,"On Instagram, a user named Neha Joshi is sharing stories that promote violence against the government and our leaders. This is very dangerous for our country's integrity. I request you to take action against her account."
1330,Online Gambling  Betting,Online Gambling  Betting,"Mujhe ek message aaya tha ki maine lottery jeeti hai, aur agar main paise deposit karun toh mujhe zyada paise milenge. Unhone meri bank details maangi thi. Please help!"
898,Online Cyber Trafficking,Online Trafficking,"Mujhe ek unknown number se message aaya hai jisme bola gaya ki mujhe apne account ko secure karne ke liye details deni hain. Maine nahi diya, par ab wo mujhe dhamki de rahe hain."
359,Online and Social Media Related Crime,EMail Phishing,"I received a WhatsApp message from an unknown number claiming to be a bank representative. They asked for my account details. I didn’t share anything, but it’s alarming."
1088,Online and Social Media Related Crime,Provocative Speech for unlawful acts,"I received a message on WhatsApp from an unknown number, threatening to share my personal photos if I don't pay them money. Please help me with this issue."
364,Online and Social Media Related Crime,EMail Phishing,"Ek unknown number se mujhe call aayi thi, unhone bola ki wo tech support se hain. Unhone mere email aur password maange, mujhe laga yeh fraud hai."
1175,Hacking  Damage to computercomputer system etc,Email Hacking,"Mera email ID hack ho gaya hai, aur ab mujhe access nahi mil raha. Mujhe dar hai ki mere bank details bhi leak ho gaye hain. Kripya meri madad karein."
852,Online Cyber Trafficking,Online Trafficking,"I got a message from an unknown number asking me to click a link to verify my account. I didn’t click it, but now they are blackmailing me, saying they have my personal photos. What should I do?"
1284,Online Financial Fraud,Business Email CompromiseEmail Takeover,"Mujhe ek email aayi thi jismein bola gaya tha ki mujhe ek accha investment opportunity mil raha hai. Unhone mujhe paise transfer karne ko bola, lekin ab wo mujhe ignore kar rahe hain."
853,Online Cyber Trafficking,Online Trafficking,I was contacted by a person claiming to be from a loan company. They asked for my Aadhar details and now they are harassing me for money. I am scared they might misuse my information.
706,Online and Social Media Related Crime,Online Matrimonial Fraud,"Respected Sir, I was approached by a girl on a matrimony app who claimed to be a doctor. She asked for money to help her with a charity project. I sent her Rs 18,000, but now I suspect it was all a scam. Please help me recover my money."
387,Online and Social Media Related Crime,EMail Phishing,"I received a fake email from someone pretending to be my employer. They asked for my bank details for direct deposit. I ignored it, but I’m concerned for my colleagues."
997,Cyber Terrorism,Cyber Terrorism,"Mujhe ek aadmi ne social media par contact kiya aur bola ki wo mujhe job dilayega. Jab maine apne details diye, toh ab wo mujhe blackmail kar raha hai. Main bahut dar rahi hoon."
1110,Hacking  Damage to computercomputer system etc,Email Hacking,Mujhe pata chala ki mera email id kisi ne use karke fraud kiya hai. Main bahut pareshan hoon aur mujhe samajh nahi aa raha kya karun. Kripya madad karein.
753,Online and Social Media Related Crime,Online Matrimonial Fraud,"Respected Cyber Cell, I was chatting with a girl on a matrimonial website. She sent me a fake ID and asked for money to pay for her flight. I sent her Rs. 25,000. Now I realize it was a fraud. Please investigate."
840,Online Cyber Trafficking,Online Trafficking,"Ek unknown number se mujhe call aaya, wo mujhe blackmail kar raha hai ki agar maine paise nahi diye toh meri private photos sabko bhej dega."
1105,Hacking  Damage to computercomputer system etc,Email Hacking,Mera email id hack ho gaya hai aur mujhe har din naye spam emails mil rahe hain. Main password change karne ki koshish kar raha hoon lekin koi fayda nahi ho raha. Kripya madad karein.
731,Online and Social Media Related Crime,Online Matrimonial Fraud,"Respected Cyber Cell, I met a girl on a matrimony app who claimed to be from Delhi. After a few days, she asked me to send money for her medical emergency. I sent her Rs 20,000, but now she is not responding. Please take action against her."
667,Hacking  Damage to computercomputer system etc,Website DefacementHacking,"Mere dost ne mujhe ek link bheja tha Instagram pe, bola ki mujhe kuch verify karna hai. Maine link pe click kiya aur ab mera account hack ho gaya hai. Please help."
263,Online and Social Media Related Crime,Intimidating Email,"Koi mujhe threatening emails bhej raha hai aur keh raha hai ki agar maine unki baat nahi maani toh woh meri izzat kharab kar dega. Main bahut pareshan hoon, please meri madad karein."
526,Hacking  Damage to computercomputer system etc,Damage to computer computer systems etc,"Mujhe ek app se loan mila tha, ab wo log mujhe har waqt paise chukane ke liye pareshan kar rahe hain. Unhone meri saari personal information le li hai. Kripya kuch karein."
1369,Online Gambling  Betting,Online Gambling  Betting,Maine ek online gambling app mein ₹3000 kho diye. Unhone quick returns ka vaada kiya par ab wo respond nahi kar rahe. Kripya meri madad karein!
757,Online and Social Media Related Crime,Online Matrimonial Fraud,"I found a profile on a matrimony site and started talking to a girl named Sneha. She asked for money to help her family. I sent her Rs. 12,000, but now I think I’ve been scammed. Please help me."
826,Online Cyber Trafficking,Online Trafficking,"Ek unknown number se mujhe call aaya, wo mujhe blackmail kar raha hai ki agar maine paise nahi diye toh meri private photos sabko bhej dega."
537,Hacking  Damage to computercomputer system etc,Damage to computer computer systems etc,"Mera laptop kisi ne hack kar liya hai. Ab main apne documents nahi dekh pa raha hoon. Mujhe bahut dikkat ho rahi hai, please help."
1305,Online Gambling  Betting,Online Gambling  Betting,"Kuch log mujhe call karke keh rahe hain ki main agar unhe paise doon toh mujhe lottery jeetne ka chance milega. Maine unhe apni details di thi, ab mujhe dar lag raha hai."
755,Online and Social Media Related Crime,Online Matrimonial Fraud,"I was searching for a life partner on a matrimonial site and got in touch with a girl named Riya. She claimed to be stuck abroad and needed money for her travel. I sent her Rs. 30,000. Now I think it was a scam. Please take action."
